longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,school_quality_index,distance_to_highway,property_tax_rate,climate_zone
-91.96298239320518,46.203264811860564,41,1818,556,8674,2042,81348.79670842843,422087.44465721253,4.121973787279471,1.7606776469956764,0.8644882891547685,Cold Continental
-93.86681054883111,44.27495649090897,47,4481,1082,8603,2066,75651.96991047479,267009.6639217075,4.920803114108589,1.2974985292596823,2.10315370498616,Humid Continental
-96.34810176821073,49.224306163552335,44,1498,2230,5913,2196,75447.40098702938,315113.1665265083,8.150327360681555,7.462059477863316,1.7251179415672746,Cold Continental
-93.4376201011321,47.13704780670528,59,4173,1222,14767,5585,83040.58769134208,287619.9523808871,3.503162399379512,23.320360274876027,1.8449080380385383,Cold Continental
-97.0317695353013,44.87185683302078,43,7660,248,5166,1109,73870.56289565231,430688.0284914104,2.2802971579913387,13.128005068774783,1.2362004354151206,Cold Continental
-90.2073008637855,47.53020410643514,19,6754,1452,1110,4505,100340.40918771077,486967.30353400274,3.818468816467994,6.867484250395215,1.9839149311882796,Humid Continental
-95.28151614351987,47.208769442747375,8,5538,1279,2227,4858,84046.40735602079,334668.97634345654,8.645807939391112,10.039253183324385,1.1634445971918699,Cold Continental
-92.13232618203894,45.64897630819704,29,7685,289,10982,3389,73757.06010971105,453138.80932978797,1.80090743370712,15.005018174376302,0.8023012599574296,Cold Continental
-94.86865360650259,44.18134555319777,17,2774,982,2354,5859,96381.0496230116,226521.87372913127,9.925264660352067,16.35844648763227,1.3269809475289716,Cold Continental
-93.24346943481308,47.529439173556796,37,6389,2410,11300,970,78491.72519467838,339030.0206723436,5.869026090348963,3.932595793594335,1.599066073342703,Cold Continental
-93.03565982112242,46.62184620542276,20,3785,499,5555,3355,53291.53982281432,248805.77868818733,9.863611695703845,24.428088745974883,1.4701868011517316,Humid Continental
-95.85813524690089,48.133910350413835,46,6557,2911,10771,2701,46567.5934541257,280532.42576304195,9.450967798773798,13.66482845187144,2.0069065996072357,Cold Continental
-89.73723990343645,46.62098100667196,70,4349,708,2824,2914,42186.222853014304,426910.37781382754,5.075323427898251,3.4786391130277545,0.9475674003386337,Humid Continental
-91.2539639777833,48.61308900191124,59,7612,1895,13319,4924,101956.41700368813,495564.74187304784,2.786419671448142,22.35151780831873,1.575352816887216,Humid Continental
-89.97190825579932,46.81144103264691,46,4019,1738,9869,3785,86810.83454384527,145887.8799003721,2.483962989086246,1.9584969338777771,1.5181710897492704,Humid Continental
-90.32034666666434,46.865627829212315,38,602,1675,9783,1828,104990.27505314565,381934.057984195,3.1599042748296178,22.702612286120065,1.1939501750410284,Humid Continental
-92.63638016527354,48.75992161595007,34,7187,2932,14689,5997,78263.34445719543,357786.1514857873,7.3911937650808355,24.914484841595662,1.951119357607815,Cold Continental
-90.10938096681969,45.920897197274385,17,4252,2248,13671,586,67872.070519593,144470.91802092866,3.4565499525833907,17.540751798996947,1.853988118235089,Humid Continental
-96.60975848399502,44.304091370703844,17,4983,1482,6274,3621,34777.31911767115,187471.3920024502,4.072827426438685,19.284135804742345,1.8260028622645634,Humid Continental
-95.77133367313067,43.67269605788003,22,1286,1503,7019,5400,83731.38252368238,233061.1475770329,5.039009235951533,8.49884062804041,2.026669469577379,Humid Continental
-96.9472271464978,48.030823534041716,36,2163,919,11483,4208,76576.7007814585,166788.29257605068,9.219094123793107,23.54526363307495,1.8118984408701297,Humid Continental
-94.76242342004653,47.22185730812079,43,4740,919,14914,4293,109216.71148700971,202115.56196119724,2.704540760963615,13.289877756098353,1.124577808400617,Cold Continental
-94.26831714042204,47.72447860859534,50,5209,519,2249,4563,49132.70222257944,213096.36747638544,1.0452389734882281,18.336472320279118,1.7877877963095676,Cold Continental
-95.18347755216361,44.777784969053464,33,6383,223,11367,2666,72458.98842294686,244409.96319796742,1.5408676934035315,23.11028212619086,1.2307839387457815,Humid Continental
-90.83584742861495,44.318228853520615,66,7244,521,1281,2482,82076.58680944581,434719.60828853317,9.142897075121061,24.381981401790156,1.1390445104864588,Humid Continental
-94.51732405179,43.58726799400729,66,3372,1608,8048,2056,81567.2939793875,353079.6137712763,6.827648183590268,20.846788479257192,0.9022050300594783,Humid Continental
-95.10871082443843,45.60352535283958,61,7614,1697,11740,2198,74903.48343587221,543673.4690976447,3.457365573950261,7.645135923852546,1.8416400124867476,Cold Continental
-93.06697055136566,47.0395061211278,20,5706,867,7323,5676,92154.24082617804,280778.4804050367,2.59473250910072,24.16703316214685,1.7954013467297358,Cold Continental
-96.20079104519685,45.853464270598394,60,6395,2144,2605,1436,46398.49676214531,436777.93396498554,3.648400629734029,15.740176327964937,1.1282992687437314,Cold Continental
-91.04286355011848,46.12484953214238,14,6073,2630,4367,4869,88050.17602195326,490875.4738332055,2.033172345261521,23.2729976611638,1.8491306234138185,Cold Continental
-96.71850497929779,48.92495216696249,34,3424,2666,7693,4344,79578.76571464713,402330.1067974993,9.47379619255997,16.93501514277736,2.0849772363309746,Cold Continental
-89.60228189451597,45.5895328021398,29,1627,2302,5476,1350,101686.00894356586,279457.7805920482,8.057855569287401,7.750250150008239,0.951240540488211,Humid Continental
-91.27649079948607,46.583936934958864,9,5488,2239,13234,4518,97775.55512268654,436653.53014304634,5.161520592212867,9.313610651156116,1.1256912937414851,Cold Continental
-95.75001768403345,48.20191807644686,69,2708,1649,2613,1631,55211.76313060426,183686.88337543502,8.784663446036816,13.806747249863218,1.850365111722242,Cold Continental
-97.2569274864359,45.87925669392762,53,3973,2602,6379,5824,52098.98599801224,240673.9959828609,3.2451238386390906,19.771369554841062,1.1843093429099096,Humid Continental
-90.9394008580523,47.232520201367244,7,3591,1864,14065,2019,108532.26590819583,341475.21734567283,7.4540851162497415,8.017765528374339,1.6745295639972038,Cold Continental
-91.78651271798859,48.67418225248047,49,4333,2144,4470,2524,72181.21447322052,354688.31815162825,8.705192491123691,14.535306036741382,0.9136299142492004,Cold Continental
-91.6137440892803,49.19712374194585,18,5405,2745,10683,5757,102513.67711315495,100185.07871740955,4.210918404609453,8.706062340052398,1.4330834707449545,Cold Continental
-91.28409129584962,44.382440885574226,34,1003,609,9759,1330,43110.48190243858,524752.526827764,7.817180009056459,20.41265817541417,1.8347279907901344,Humid Continental
-96.7224517164741,49.059525750968966,72,874,1306,7764,5977,81425.51318401395,410448.5447599994,3.655651143378784,11.721529534821965,1.7611195202605536,Cold Continental
-94.50396731735466,46.45269775847723,22,6004,485,2077,2858,94788.81498884689,318023.7251066699,3.689714217331277,2.010398388636842,1.9411009409461297,Humid Continental
-96.39622133570398,45.04946632979375,66,3532,1697,9703,3700,105791.61996691575,519238.52782782185,1.9635146069876745,4.234707784890255,2.0284329772444365,Humid Continental
-90.56779327817037,46.25481453742957,41,5508,2552,2774,574,56987.21128136187,291983.9600153811,4.960522418584588,1.621506223728844,1.8824569017622617,Cold Continental
-92.43827461074505,49.380195451712865,29,5083,2393,5369,2320,87998.4935939242,541000.362324371,7.5674071584768,12.532643355756697,1.7402228401144963,Cold Continental
-94.71899540614933,46.45570856395722,52,7224,841,10506,4220,73105.04072316951,325650.9883320031,9.461987250141565,2.7477987039708562,0.8444114885424436,Cold Continental
-96.80424486776901,45.47250966172505,69,2932,2808,7244,2221,34850.314085317455,142571.45419907055,6.434172927361865,2.9420852358098393,1.5489533427732218,Cold Continental
-94.87433789061784,47.300405125900355,57,4128,2797,2926,3905,85199.97898471548,441808.4473312675,8.76821983962165,23.532101674955587,0.8527768148807939,Humid Continental
-94.76357008819137,44.94087371266916,77,7032,2011,13989,5349,85207.72465902747,402292.9535358066,8.402451843612043,21.82911129718378,1.9312949439624318,Cold Continental
-91.6090718089631,43.95517996865198,19,3530,1546,6046,3459,104448.54438772296,445573.8918005699,2.560087476777528,11.356956260603011,1.2490143342439408,Humid Continental
-92.32705172342934,44.27327833146389,53,788,1000,7352,3635,69784.99569351779,527663.3332138134,5.372356860213683,24.646552489170123,1.5874011237650896,Humid Continental
-90.37974060790465,44.26827503374663,72,7414,2212,13094,2089,48420.073656841174,447185.07921946835,2.0523118197285233,0.10464455144951154,1.1912234302464637,Humid Continental
-93.6167235837368,44.41141616107377,16,1647,2360,13566,2023,33565.10587589433,371214.83701965754,7.1393784540547145,15.388088461207504,1.8955002021324112,Humid Continental
-96.36716488168125,44.33296303589646,63,3981,2109,3051,1674,63251.37493487245,484362.09508598683,9.549097014214684,15.449061616559563,2.041103537298664,Humid Continental
-91.73669065966064,47.345248468819285,41,7848,341,6911,2442,54153.336006200145,399693.3621030845,2.2338051227088087,11.490332091160216,1.3580994918982896,Cold Continental
-91.3658766207882,44.59128050639487,65,3473,2640,12349,5475,90887.06448191004,277734.76613992464,7.604948177222871,9.984004526063892,2.008091350915385,Humid Continental
-92.92203785895794,45.57400369994318,47,4889,2485,507,3443,58341.42118728373,497385.0915512157,6.690143357810749,11.439040073467128,1.1739050104388653,Humid Continental
-91.28645599635442,48.88073045943607,74,1967,2120,8587,5360,105925.69570518752,192074.21196081152,6.252445333072898,10.432514858384042,1.5485252923057335,Cold Continental
-93.44839434835775,46.343769841577235,43,1937,272,3055,3334,106984.81623902274,418734.9864580131,4.511082112195053,18.289262689309254,2.002266001774186,Cold Continental
-93.22268393082044,47.50534643112616,60,4414,771,975,2270,79672.68721741665,495519.1892727482,4.196184829784313,3.470350330834773,1.2562338796621066,Humid Continental
-93.9651800568033,44.53391922720978,67,7921,263,5916,559,104292.82296119063,426405.5990635163,1.4072427011699906,5.02121659271914,2.13565917110932,Humid Continental
-97.10173081139605,44.65373411285202,50,3853,564,10903,2241,90868.34756115965,410746.6927647742,2.9611783742681212,4.5949038869713466,0.9706313024939371,Cold Continental
-96.45844686945222,43.745211697598876,15,6840,596,9176,1341,73748.7712780101,436213.61527304456,1.1365919405814422,6.635517569519486,0.8255850976129088,Humid Continental
-97.05485235164348,44.513610378432986,66,1300,799,7739,1835,44424.634833822245,303925.4142182964,6.232753950238185,13.178934627661423,2.065789493609467,Cold Continental
-92.3359987921425,45.17154203419175,29,7746,2542,7210,5699,66687.8354811072,492118.51379223197,1.9526791229011797,2.869097808721646,0.8961081326070212,Cold Continental
-94.84802334760465,44.56206290566048,75,1150,802,5500,4200,74869.9570690094,183580.77856260195,8.857174546267444,21.717415453629954,2.1886448743264886,Humid Continental
-93.33314860891532,44.03221520254233,56,1688,2040,5154,2143,99116.92645880081,148597.75136015608,5.708287186274487,7.50430212958096,2.131955606770749,Cold Continental
-90.22098150337648,44.223815226603605,8,5750,2455,8578,4974,68506.67012285319,221334.03885451533,7.297209181528376,4.147195887970825,0.991829274050849,Humid Continental
-95.35552061263877,46.264672608196356,63,4012,1891,6563,3561,101813.97381423654,334525.60251649685,4.697713826564469,16.92297060899626,1.5526184759695922,Humid Continental
-94.09901320032209,44.73800231043475,76,1667,282,2785,3180,83947.91832187751,324858.4258882955,6.045218281009438,1.04834888492305,1.058888416454002,Humid Continental
-91.40670111936421,45.685619166288454,24,1121,728,5723,206,40959.92504429371,467475.42853122985,9.483932592699674,15.537217265366687,1.3994172422421678,Cold Continental
-95.51537430916534,46.52050362512914,67,754,2657,14021,3467,109598.50954600744,276101.581945848,1.744606356613037,17.485140923844845,0.8859951809637658,Humid Continental
-96.69955670333542,47.64236897177619,58,1924,1831,7471,1791,72178.612860313,312798.43609409395,3.2854399473132654,5.451421631529307,1.1134944229152255,Cold Continental
-95.03993866727261,43.73587283904659,78,3072,645,13255,5128,61348.66371272631,96149.13429932199,8.019894942194899,1.1449054287464937,1.3085819149584594,Humid Continental
-96.04247395941876,48.296462393454256,61,4026,1687,4025,3464,82729.10115756212,278480.048763752,1.8886348619439928,9.154769437094295,1.4141065003444768,Humid Continental
-90.04835831172792,47.267402336945445,45,7532,723,12031,2806,38711.465118483124,387976.14715715736,1.6809499351369976,2.554996333024218,2.1684947614924504,Cold Continental
-90.99666103939755,43.990554191693235,7,3447,693,3322,3419,80923.09174026834,97133.8320882324,4.253872588786347,3.0002984568660933,1.931011903957574,Humid Continental
-92.3594506992187,48.74147174464066,10,4389,843,5443,3473,69858.88003994184,219205.70398567212,1.829511626251891,6.431104662977127,1.8323739220367248,Humid Continental
-90.50260739653581,49.02523440319088,9,5106,1868,7030,1113,62533.92559988665,185659.92527311936,6.265705979855828,7.457151323206306,1.551857840638764,Cold Continental
-91.03135780018691,43.86646775912918,9,2490,1559,11616,2211,106241.60169431193,109313.29729841059,3.0364772573493983,13.296261491433372,1.9759968648460808,Cold Continental
-95.84475354068891,45.16126588888322,58,1216,2048,758,1642,71803.17733856426,310459.6413606872,9.06128166879435,16.991957949025025,1.2750519699179956,Cold Continental
-90.33803981177817,48.33720767875837,51,4286,2701,782,5746,47529.39835759507,173592.714884952,8.05150072760731,14.8599964276676,1.7924587578826428,Humid Continental
-93.09313051305793,47.98955814230195,53,3175,2168,14437,3254,66717.07835018389,431817.50823043485,7.297346854895285,3.7941723985089686,2.191297565529441,Cold Continental
-91.00196678972031,44.60712611613826,13,7048,2701,2398,5798,103550.99236581381,480046.8265311403,6.552496246460517,4.384942208070398,1.2404804725092784,Cold Continental
-90.31048786059675,44.75609594002026,24,5892,2544,4635,3746,44087.637706447575,340969.184027808,8.771191573073171,21.98135431984357,1.7436245488375544,Humid Continental
-94.81957289521947,45.72283261674829,65,1740,2772,7129,4421,47116.563095058955,541585.3775597252,3.0075585538848117,14.00297264509643,1.9820408098133355,Cold Continental
-96.44159498868412,46.40713791114613,39,4700,204,11668,5112,31042.3654205667,297220.14287647384,8.857979584878048,21.761452039152456,2.0821306166909412,Humid Continental
-95.52210573217285,47.209528629181776,54,1035,2339,10959,3128,31135.203951661373,326149.37670346117,8.105430685816472,9.351508131864872,1.8051057673161426,Humid Continental
-93.9685592487152,45.713481837418634,66,3868,116,3700,2029,96351.330156681,545040.166820565,7.73344743748917,15.398560185039962,1.1970510927839908,Cold Continental
-90.91948482580456,46.27520829679889,21,6734,492,5610,775,88569.80854743646,196512.28054392245,6.051301102674317,13.139219059759807,1.256795012196525,Humid Continental
-90.58630145060052,47.98482562880254,7,6359,524,7667,5711,58403.284516156666,523571.1322513764,3.216197448735401,8.046174896529518,0.8290612449735499,Cold Continental
-97.24577338185671,43.72009921734359,36,6545,2276,1112,1129,85864.89257820582,109705.2753547921,4.8119312439270665,11.800892763636524,1.8652403687401138,Cold Continental
-93.31617103989498,45.01462166606412,17,6405,671,14703,3959,61616.47410479761,295337.9695210696,8.142135890849215,12.612022832990608,0.859835448486732,Cold Continental
-94.04419417543953,47.78009751530732,77,3638,2176,1187,3899,106231.7436798262,122201.61558121025,1.28600635921592,5.099197271441296,2.010513296443844,Cold Continental
-95.5675590783283,48.871241026123194,72,7310,1220,4190,1663,107364.21451408279,425447.98174027575,8.038456923373825,7.943758272180616,0.9661248602643544,Humid Continental
-96.36505013479727,46.570064652694,18,3315,341,9304,3475,61423.502064747474,369868.1105048082,3.1606366643880985,19.806102787623693,1.040627116990294,Humid Continental
-94.6666016630517,46.69268091159189,15,7417,2379,2807,5128,98337.75250726944,415051.7611950943,2.2987828064944273,22.903127162407767,1.4671370591651325,Cold Continental
-89.94530430948235,44.14303206803866,60,3189,888,7633,1254,91847.1233357973,262260.98398528784,2.0413118636227194,9.058872929277955,1.8330325812362394,Cold Continental
-94.7790171302381,46.18447420094073,71,1261,814,11705,5944,54799.994973743145,259961.68965443494,1.245250107557336,7.743609827004552,0.9946030872787088,Humid Continental
-93.25343315040175,46.69570359873014,33,3289,858,7009,2100,48563.18631208848,110846.86832201152,5.712278366993076,4.960409397839874,1.416099505093098,Cold Continental
-91.81645212061761,44.95482302180838,13,4148,2949,10473,1657,66658.7720314267,250974.6721836343,2.9643388542435654,16.994430099399473,1.4759917841741468,Humid Continental
-94.4636891014415,45.11545938569628,71,1326,875,6406,1599,92507.9072491525,517472.6650405473,9.904885892016685,8.145182571491798,1.097199898336028,Cold Continental
-89.72009975477651,45.763704978627736,29,6528,2873,3091,3615,106813.42277829963,264444.20710300654,6.169930802849852,24.694963523569793,0.9617817273528845,Humid Continental
-89.79291109945153,43.62042718666636,46,4165,2347,11388,642,91086.3255093258,472429.1448621062,2.2409674242040936,8.209551571392435,1.9709892921798955,Humid Continental
-95.33609809256215,45.43247499349907,13,6771,178,14335,3850,98416.5588014696,477469.73218496965,7.198862867302288,9.91398756488744,1.5034519096678718,Humid Continental
-93.42146165403939,44.76868804197927,44,3163,955,14718,4852,78245.14449364133,261690.93193444755,9.079692098587527,15.123021485679665,0.8201337303778142,Cold Continental
-94.95314918342919,45.46498411306749,29,5869,2614,12650,1378,96832.62646737006,380714.79298224696,7.706615458326529,20.061938900463495,1.9241738218327455,Cold Continental
-95.07824414385576,44.21857279091551,9,2801,2728,7683,4658,92753.66864027342,133870.93704560696,1.687958749355029,11.791014767106278,2.1731113275804192,Cold Continental
-97.01228181063465,48.84316368443937,15,2247,1539,5748,1457,60158.843354102406,137692.14713776717,9.062957630733935,10.624135241345062,1.6482966735799462,Cold Continental
-92.5453981949568,47.06155472132429,63,7072,2596,9266,3834,74159.22416965768,112382.52528438813,8.145364472739683,24.891382056510725,1.5051917419176992,Cold Continental
-93.37910361881488,47.57461391486694,42,7688,2234,10602,2041,94380.24975917558,357266.94295255037,2.424735100950529,0.3612916643846166,2.0297822082629464,Humid Continental
-96.89846574025007,48.23502743164403,76,1477,2248,5608,2509,33684.53873519651,285992.64970800467,1.4660729985953518,22.387125692396022,2.133523505558438,Humid Continental
-95.12655757895443,46.490653193574346,9,5060,1131,4104,1110,94646.34258846639,342094.88406555046,6.015795177828776,3.813606565899462,1.856351682263445,Humid Continental
-90.2155260894601,44.02152172852454,52,311,944,1169,4540,44231.04992392188,329693.6676338584,2.404322302059792,19.669539377601943,1.4236341016280032,Humid Continental
-95.43141725279762,46.722639250911286,22,5552,186,4864,4837,71174.68936971511,251093.37590173594,8.51131857335745,15.486495840172818,1.6291099590640168,Humid Continental
-96.16981999768846,47.021046708125276,74,4699,2190,7829,4209,94662.035164475,401637.7708187975,4.225011910045064,8.611997408902491,1.781309511025199,Humid Continental
-93.482268469835,47.97263684510598,41,3664,507,1783,2369,50305.68625253559,438910.86522153975,9.216032002629179,21.859486392473357,1.071982999402522,Humid Continental
-89.61192645793732,46.089957277378076,64,3322,2811,1423,2372,49664.59514449224,96728.99908373083,6.091193549269052,0.4213899767267002,1.4260814451030135,Cold Continental
-95.41196888221029,44.26548181677338,52,3671,1768,1625,5868,62221.15187698015,185331.45789368404,2.6440514581570134,5.744597236665599,1.961749770604199,Humid Continental
-92.05734273023414,45.20265543479235,32,6159,247,2029,323,101571.42380621076,418088.4993183349,2.256389806238201,14.215630626613446,1.7166154878978204,Cold Continental
-91.35936700043601,45.67849377839181,73,3130,2424,14546,3358,30035.42251497663,267845.27941156377,6.188251938019786,8.85340227523748,1.3756856940965958,Humid Continental
-95.44642715685929,47.37550344798961,44,342,331,10286,985,102110.6477313548,394742.6155931398,7.856952506761996,15.298399633426357,1.728707547620554,Humid Continental
-91.6199124808275,46.92466982801347,49,1243,2050,8938,2616,42304.56197132862,249602.82347789686,8.033550829679639,0.7003438158758039,0.9655113769014438,Cold Continental
-94.43129156478982,45.636580355387075,66,2690,465,4211,996,109206.91008539856,269747.370071633,3.4818166399715316,2.9998273689946418,1.362096654790827,Humid Continental
-92.36801452137009,49.41909149275788,62,5745,1774,8504,4372,106387.75944307745,162992.28189725504,2.838220830209507,3.264696381439137,1.910379953148279,Cold Continental
-92.35846825606502,47.13464891614132,71,2845,535,10252,4354,69574.01516730266,208786.26904643362,1.1508067404314417,4.813162783308634,1.1087123019913072,Humid Continental
-93.12095746421689,44.923360750415966,60,2711,498,6774,5819,71017.61982501025,368489.4084534901,7.112792360810524,11.537352875933514,1.0603461105803849,Cold Continental
-96.59573979357562,44.11069483572242,44,5286,1334,11092,2136,68523.94722206835,289255.03120497655,1.6891143259018508,18.828004618634925,2.1311461238830045,Humid Continental
-90.78464053440395,44.41715483510599,44,6870,1514,10935,2356,80835.49165276182,446179.23415451375,4.786850815893333,22.647917064429638,1.0938566814207231,Cold Continental
-94.79791549322046,44.97574637030705,37,1304,2646,4364,4007,37257.73617879448,482189.07927163766,6.415139476164665,20.900776004077727,1.1652860115102355,Cold Continental
-95.84515561888114,44.464088239557334,10,320,2687,10631,1501,32609.43586732532,339157.35237970954,9.433980504277093,5.00250800721452,2.1574623144660734,Humid Continental
-96.98195389587283,44.619402144307834,23,706,662,13717,4363,34616.23427327191,438802.9543457872,3.8062192326019177,11.084648750542746,1.8285919983710361,Humid Continental
-92.6910350431317,45.21057101216308,44,7062,2589,8333,3340,65549.22793932115,231176.07606950222,3.247949462018678,5.065348784187521,1.7794351462329396,Cold Continental
-92.0149979776302,44.540241571768526,63,1314,1384,11761,3436,52043.83513755867,280886.759084036,6.887441388574886,6.685348235013049,1.994096937396414,Humid Continental
-97.17061493436272,48.88059254775855,63,4731,872,7288,2552,79763.1649896795,417877.7310597422,6.573151288482235,12.638319839645964,0.962152315131512,Cold Continental
-93.30567414526561,43.98140247396985,52,2138,2497,726,2132,109395.38314998231,267657.5166958341,3.988988049773121,1.7959147156157111,1.78833873121201,Humid Continental
-95.53333295345608,46.64706833742153,45,3488,2137,12239,2921,60905.85384611727,360712.27017313486,9.352916519588078,5.532540806872502,1.5051640530595347,Cold Continental
-92.26765223480629,45.96238096193797,17,5543,2667,764,564,75907.30032836107,175271.47837795527,8.603760947406695,23.390916216547218,1.960810896397796,Humid Continental
-95.93994185376107,49.394271701451636,49,6842,1443,10087,5116,63248.31167258684,365894.80488642905,3.0158429127857302,11.706295687196375,1.5113984061312722,Cold Continental
